rno,1,2,3,4,5,6,7,8
0808CS141001,7.07,6.67,6.88,5.63,7.38,5.94,6.81,6.69
0808CS141002,7,7.47,7.88,8.13,8.38,8.13,8.13,8.13
0808CS141003,7.6,6.53,7.69,7.06,7.63,8.13,8.38,8.5
0808CS141004,6.33,5.4,5.19,4.69,7.69,7.5,7.31,8
0808CS141005,7.6,6.73,7.63,7.81,8.25,8.38,8.13,8.44
0808CS141006,7.13,6.2,6.13,6,7.25,6.94,7.31,6.75
0808CS141007,7.27,7.33,7,7.31,8.38,8.38,8,8.94
0808CS141008,7.13,6.6,6.38,6.38,7.63,7.75,7.94,7.75
0808CS141009,7.33,7.67,7.63,8,8.56,8,7.94,8.38
0808CS141010,6.2,5,6.25,5.25,7.19,6.69,7.13,6.88
0808CS141011,4.67,,,,,,,
0808CS141012,6.53,5,6.38,5.06,6.63,6.31,6.5,6.88
0808CS141013,6.6,6.13,5.69,4.69,7.38,6.94,7.38,7.63
0808CS141014,7.07,6.6,6.44,5.69,6.63,5.38,7,6.81
0808CS141015,6.87,7,7,7.25,7.69,7.94,7.94,8
0808CS141016,5.47,3.07,4.56,6.63,6.88,,,
0808CS141017,7.27,7.2,7.88,7.88,7.88,7.88,8.31,8.13
0808CS141019,6.33,4.13,6.31,5.19,7.88,7.25,7.75,7.56
0808CS141020,7.4,7.47,6.94,7.06,8.38,7.69,7.88,8.25
0808CS141021,5,4.93,6.94,6.13,7.88,8.44,4.25,7.81
0808CS141022,7.8,6.6,8.06,8.06,8.75,8.5,8.81,8.81
0808CS141023,6.6,6.07,7.63,7.44,7.69,7.75,8.06,8.31
0808CS141024,6.4,3.87,6.5,5.31,7.31,7.44,7.5,7.5
0808CS141025,7.13,5.93,7.13,6.88,8.25,8.13,8.06,8.31
0808CS141026,6.8,6.13,6.19,5,7.25,6.25,6.94,7.13
0808CS141027,7.2,6.87,7,7.5,7.75,7.75,7.5,8.13
0808CS141028,7.73,7.67,7.88,8.19,8.19,8.13,8.31,8.63
0808CS141029,7.87,7.2,7.13,6.63,8.13,7.81,7.5,7.5
0808CS141030,5.4,4.2,4.94,5.44,6,6.44,7,6.94
0808CS141031,7.8,7.47,8.13,8.06,7.81,7.88,7.63,8.19
0808CS141032,6.6,4.87,5.13,5.44,7.44,7.25,7.5,8
0808CS141033,7.33,5.4,5.19,6.81,7.06,7.44,7.69,7.94
0808CS141034,5.33,3.73,,,,,,
0808CS141035,7.4,5.93,7.81,7.5,8,7.75,7.31,8.5
0808CS141036,7.4,6,7.81,7.56,8.31,8,8.31,8.06
0808CS141037,6.6,6.8,7.56,7.25,7.75,7.5,7.19,7.13
0808CS141038,7.4,6.93,7.13,7.13,7.5,7.19,7.38,8
0808CS141039,6.93,6.4,6.88,6.75,7.94,7.44,7.75,7.69
0808CS141040,5.53,4.27,5.88,7.06,8.06,7.75,7.81,8.56
0808CS141041,7,6.53,6,5.94,7.13,6.88,7.25,7.56
0808CS141042,4.73,4.53,3.88,4.31,6.19,7.88,,
0808CS141043,6.87,5.6,5.5,5.38,6.94,6.25,7,7.25
0808CS141045,7.73,7.2,6.5,6.88,7.63,7.19,7,6.94
0808CS141046,4.53,6.13,5.88,6.06,6.63,7.13,7.38,6.81
0808CS141047,5,4,4.13,3.13,,,,
0808CS141048,6.13,4.27,5.5,5.56,6.25,5.88,6.69,7
0808CS141049,6.6,5.53,7,7.19,7.63,8.31,7.94,8.19
0808CS141050,5.67,6.33,6.5,6.19,7.38,8.19,7.63,7.63
0808CS141052,6.67,4.07,4.75,6.44,5.63,5.75,7.63,6.31
0808CS141053,7.8,6.93,7.63,7.31,8.25,7.94,7.94,7.69
0808CS141054,7.53,5.53,7.31,6.88,7.5,7.19,7.25,7.31
0808CS141055,5.6,4.27,5.5,5.88,5.44,6.56,6.06,6.69
0808CS141056,8.13,8.2,8.69,8.06,8.56,8.38,8.44,8.31
0808CS141057,7.7,4.93,7.88,7.25,7.63,7.5,7.63,7.75
0808CS141058,6.73,4.47,7,7.69,8,7.81,7.56,7.69
0808CS141059,5.47,4.73,6.44,6.06,6.75,6.31,6.94,6.56
0808CS141060,6.13,4.47,5.44,2.75,6.75,5.63,6.13,7.19
0808CS141061,6.6,4.8,7,6.81,7.38,6.75,7.5,7.25
0808CS141062,6.33,5.47,8.13,7.81,8,7.81,8.31,8.25
0808CS141063,6.6,5.4,8,7.88,8.56,8.19,8.19,8.38
0808CS141064,6.87,6.2,,,,,,
0808CS141065,7.4,7.13,7.88,8.06,8.31,7.69,8.13,8.69
0808CS141066,6.6,5.73,7.31,7.13,7.19,7.25,8.13,7.81
0808CS141067,6.53,6.47,6.94,6.38,6.56,6.81,7.69,7.75
0808CS141068,7.73,7.4,7.88,8.13,8.63,7.63,8.25,8.5
0808CS141069,8.07,8.07,8.56,8.5,8.88,7.81,8.44,8.31
0808CS141070,7.4,7.4,8,7.75,8.56,7.63,8.44,8.31
0808CS141071,5.93,5.2,7.13,6.38,6.69,6.56,7.44,7.88
0808CS141072,6.4,4.87,7.06,7.13,7,7,7.69,7.88
0808CS141073,7.8,6.73,7.63,7.25,7.25,7.63,8.25,8.06
0808CS141074,7.13,7.2,7.56,7.13,8.88,8.5,8.75,8.69
0808CS141075,7.73,5.53,5.56,,,,,
0808CS141076,8.07,6.07,7.88,8.75,9,8.63,8.63,9.25
0808CS141077,6.67,6.67,7.75,7.5,7.63,7.06,7.88,7.75
0808CS141078,7.87,7.47,8.56,8.44,8.63,8.5,8.5,9
0808CS141079,7.33,6.8,7.44,7.56,8.13,7.44,8,8.5
0808CS141080,8.6,7.93,8.69,8.25,8.88,7.81,8.38,8.38
0808CS141081,7.67,7.33,8.13,8.13,8.94,8.25,8.19,8.69
0808CS141083,7.33,7.53,7.38,7.13,7.75,7.94,7.69,8.31
0808CS141084,6.47,5.4,4.75,5.75,7.38,6.94,6.94,7.88
0808CS141085,7.8,7,8.31,8,7.81,7.69,7.81,7.38
0808CS141086,6.07,5.13,,,,,,
0808CS141087,2.6,,,,,,,
0808CS141088,5.87,,,,,,,
0808CS141089,6.07,4.73,7,7.56,8.31,8.06,7.88,8.06
0808CS141090,7.67,8.13,8,8.25,8.88,8.56,8.13,9
0808CS141091,7.73,7,5.5,7.06,7.94,7.5,7.63,7.69
0808CS141092,6.33,4.27,5.31,6.63,7.56,7.38,7.75,7.75
0808CS141093,7.73,7.27,7.69,7.63,8.31,7.69,7.81,8.44
0808CS141094,7.2,7.27,7.69,7.38,8.25,7.38,7.75,8.19
0808CS141095,5.93,5.27,6.5,6.25,7.38,6.88,7.5,7.81
0808CS141096,6.27,6.2,7.5,7.44,8.19,7.69,7.63,8.13
0808CS141097,4.6,4.33,,,,,,
0808CS141098,6.33,4.8,6.88,7.31,7.69,7.38,7.63,8.31
0808CS141099,8.07,7.33,8.25,7.94,8.88,7.63,7.75,8.31
0808CS141100,6.93,6.47,7.13,7.38,7.81,7.31,7.5,8.38
0808CS141101,6.93,4.73,7.25,7.19,7.88,7.19,7.5,8.25
0808CS141102,6.87,7,8.25,8.56,8.88,8.69,8.38,8.75
0808CS141103,8.2,7.13,8.63,8.13,8.88,8.13,7.81,8.56
0808CS141104,7.33,6.87,6.94,7.25,7.38,7.19,7.63,7.75
0808CS141105,7.13,7,7.5,7.25,7.88,7.94,7.44,7.56
0808CS141107,4.93,6.33,7.56,7,8.31,8,7.94,8.56
0808CS141108,7.33,7.33,7.81,7.5,7.81,8,7.88,8.31
0808CS141109,7.4,7.33,7.69,7.56,8.31,7.31,8,8
0808CS141110,6.4,6.33,7.31,7.31,8,8.19,7.5,8.19
0808CS141111,6,4.8,5.13,5.75,7.38,7.19,6.94,7.75
0808CS141112,7.13,7.33,7.88,7.38,8.31,8.13,8.13,8.19
0808CS141113,5.73,2.8,4.19,5.19,6.56,6.56,,
0808CS141114,8.27,8.4,8.88,8.63,8.63,8.94,8.25,8.44
0808CS141115,6.13,6.47,6.56,6.69,7.5,7.06,5.94,
0808CS141116,6.47,5.8,4.94,6.38,7.69,6.25,7.56,7.75
0808CS141117,7.27,6.67,7.44,7.13,8,7.94,8.5,8.25
0808CS141118,8.53,7.6,8.75,8.75,8.88,8.31,8.63,8.88
0808CS141119,5.33,5.27,6.38,6.94,8.13,7.44,7.75,8.13
0808CS141120,6.73,6.93,7.38,7.44,8.31,8.13,8.25,8.44
0808CS141121,6.4,7,7.25,7.19,7.88,7.94,8.19,8.44
0808CS141122,7.47,7.2,8.19,8.31,8.88,7.88,7.81,8.81
0808CS141123,7.27,5.73,7.69,7.94,8.19,8.19,8.25,8.19
0808CS141124,7.67,7.4,8.5,8.63,8.88,8.38,8.5,8.56
0808CS141126,5.87,6.27,5.25,6,7.25,7.25,7.69,7.88
0808CS141127,6.07,,,,,,,
0808CS141128,6.13,4.13,5.13,5.5,6.31,6.94,7.25,7.63
0808CS141129,7,5,4.88,5.63,6.75,7,6.81,7.5
0808CS141130,6.73,5.53,6.63,5.88,7.44,7.19,7.5,7.75
0808CS141131,7.2,6.33,7.5,6.63,7.56,7,7.81,8.25
